trial,nct,pmid,cell,arm,value,ci_low,ci_high,p_value,source_tier,pointer,read_or_digitised,notes
PARACHUTE-HF,NCT04023227,41335448,subgroup_sex_female_WR,sv_vs_ena,1.571,1.187,2.094,,T1-SUPP,"Supplement 3 eTable 8 p20 N=387 wins 8813 ties 4061 losses 5827",read,
PARACHUTE-HF,NCT04023227,41335448,subgroup_age_under65_WR,sv_vs_ena,1.437,1.118,1.856,,T1-SUPP,"Supplement 3 eTable 8 p20 N=438 wins 11306 ties 4112 losses 8016",read,
PARACHUTE-HF,NCT04023227,41335448,subgroup_age_65plus_WR,sv_vs_ena,1.609,1.263,2.090,,T1-SUPP,"Supplement 3 eTable 8 p20 N=484 wins 12759 ties 5858 losses 8729",read,
PARACHUTE-HF,NCT04023227,41335448,subgroup_race_caucasian_WR,sv_vs_ena,1.413,1.125,1.797,,T1-SUPP,"Supplement 3 eTable 8 p20 N=502 wins 13632 ties 6751 losses 10143",read,
PARACHUTE-HF,NCT04023227,41335448,subgroup_race_black_WR,sv_vs_ena,1.160,0.764,1.803,,T1-SUPP,"Supplement 3 eTable 8 p20 N=140 wins 2274 ties 599 losses 1957",read,
PARACHUTE-HF,NCT04023227,41335448,subgroup_race_indigenous_WR,sv_vs_ena,2.324,0.996,5.044,,T1-SUPP,"Supplement 3 eTable 8 p20 N=42 wins 117 ties 46 losses 43",read,
PARACHUTE-HF,NCT04023227,41335448,subgroup_race_mixed_WR,sv_vs_ena,1.854,1.300,2.679,,T1-SUPP,"Supplement 3 eTable 8 p20 N=238 wins 3961 ties 1667 losses 2075",read,
PARACHUTE-HF,NCT04023227,41335448,subgroup_nyha_I_or_II_WR,sv_vs_ena,1.833,1.470,2.316,,T1-SUPP,"Supplement 3 eTable 8 p20 N=570 wins 20965 ties 9657 losses 11550",read,widest separation from NYHA III/IV
PARACHUTE-HF,NCT04023227,41335448,subgroup_nyha_III_or_IV_WR,sv_vs_ena,1.184,0.904,1.559,,T1-SUPP,"Supplement 3 eTable 8 p20 N=352 wins 5596 ties 1777 losses 5598",read,
PARACHUTE-HF,NCT04023227,41335448,subgroup_egfr_60plus_WR,sv_vs_ena,1.577,1.259,1.970,,T1-SUPP,"Supplement 3 eTable 8 p20 N=590 wins 16565 ties 8415 losses 11193",read,
PARACHUTE-HF,NCT04023227,41335448,subgroup_egfr_under60_WR,sv_vs_ena,1.408,1.075,1.892,,T1-SUPP,"Supplement 3 eTable 8 p20 N=332 wins 8507 ties 2602 losses 6315",read,
PARACHUTE-HF,NCT04023227,41335448,subgroup_diabetes_no_WR,sv_vs_ena,1.562,1.287,1.883,,T1-SUPP,"Supplement 3 eTable 8 p20 N=784 wins 34796 ties 14150 losses 23693",read,
PARACHUTE-HF,NCT04023227,41335448,subgroup_diabetes_yes_WR,sv_vs_ena,1.331,0.838,2.090,,T1-SUPP,"Supplement 3 eTable 8 p20 N=138 wins 1079 ties 443 losses 895",read,
PARACHUTE-HF,NCT04023227,41335448,subgroup_sbp_below_median_WR,sv_vs_ena,1.425,1.119,1.817,,T1-SUPP,"Supplement 3 eTable 8 p20 N=447 wins 13525 ties 4623 losses 10147",read,median value not printed in table
PARACHUTE-HF,NCT04023227,41335448,subgroup_sbp_at_or_above_median_WR,sv_vs_ena,1.519,1.194,1.974,,T1-SUPP,"Supplement 3 eTable 8 p20 N=475 wins 10587 ties 5586 losses 7234",read,median value not printed in table
PARACHUTE-HF,NCT04023227,41335448,subgroup_lvef_35orless_WR,sv_vs_ena,1.464,1.195,1.781,,T1-SUPP,"Supplement 3 eTable 8 p20 N=668 wins 26507 ties 8849 losses 19605",read,
PARACHUTE-HF,NCT04023227,41335448,subgroup_lvef_over35_WR,sv_vs_ena,1.834,1.291,2.739,,T1-SUPP,"Supplement 3 eTable 8 p20 N=254 wins 3213 ties 2165 losses 1837",read,
PARACHUTE-HF,NCT04023227,41335448,subgroup_af_no_WR,sv_vs_ena,1.711,1.368,2.097,,T1-SUPP,"Supplement 3 eTable 8 p20 N=641 wins 26364 ties 10547 losses 16629",read,
PARACHUTE-HF,NCT04023227,41335448,subgroup_af_yes_WR,sv_vs_ena,1.229,0.896,1.692,,T1-SUPP,"Supplement 3 eTable 8 p20 N=281 wins 3486 ties 1505 losses 3024",read,
PARACHUTE-HF,NCT04023227,41335448,subgroup_hypertension_no_WR,sv_vs_ena,1.675,1.344,2.108,,T1-SUPP,"Supplement 3 eTable 8 p20 N=549 wins 20117 ties 6822 losses 12901",read,
PARACHUTE-HF,NCT04023227,41335448,subgroup_hypertension_yes_WR,sv_vs_ena,1.340,1.019,1.800,,T1-SUPP,"Supplement 3 eTable 8 p20 N=373 wins 6074 ties 3389 losses 5001",read,
PARACHUTE-HF,NCT04023227,41335448,subgroup_prior_acei_arb_no_WR,sv_vs_ena,2.022,1.391,3.043,,T1-SUPP,"Supplement 3 eTable 8 p20 N=195 wins 1678 ties 740 losses 950",read,
PARACHUTE-HF,NCT04023227,41335448,subgroup_prior_acei_arb_yes_WR,sv_vs_ena,1.428,1.185,1.750,,T1-SUPP,"Supplement 3 eTable 8 p20 N=727 wins 32649 ties 12940 losses 23635",read,
PARACHUTE-HF,NCT04023227,41335448,subgroup_prior_mra_no_WR,sv_vs_ena,1.411,0.996,2.030,,T1-SUPP,"Supplement 3 eTable 8 p20 N=244 wins 3252 ties 1475 losses 2489",read,
PARACHUTE-HF,NCT04023227,41335448,subgroup_prior_mra_yes_WR,sv_vs_ena,1.586,1.298,1.944,,T1-SUPP,"Supplement 3 eTable 8 p20 N=678 wins 26288 ties 10404 losses 17746",read,
PARACHUTE-HF,NCT04023227,41335448,subgroup_prior_sglt2i_no_WR,sv_vs_ena,1.539,1.288,1.854,,T1-SUPP,"Supplement 3 eTable 8 p20 N=864 wins 43534 ties 18100 losses 29954",read,
PARACHUTE-HF,NCT04023227,41335448,subgroup_prior_sglt2i_yes_WR,sv_vs_ena,0.928,0.445,1.978,,T1-SUPP,"Supplement 3 eTable 8 p20 N=58 wins 111 ties 34 losses 144",read,ONLY subgroup with point estimate below 1
PARACHUTE-HF,NCT04023227,41335448,subgroup_prior_hfhosp_1y_no_WR,sv_vs_ena,1.684,1.365,2.096,,T1-SUPP,"Supplement 3 eTable 8 p20 N=642 wins 25707 ties 12008 losses 16093",read,
PARACHUTE-HF,NCT04023227,41335448,subgroup_prior_hfhosp_1y_yes_WR,sv_vs_ena,1.289,0.964,1.740,,T1-SUPP,"Supplement 3 eTable 8 p20 N=280 wins 3808 ties 948 losses 3196",read,
PARACHUTE-HF,NCT04023227,41335448,subgroup_hf_duration_1y_or_less_WR,sv_vs_ena,1.738,1.329,2.339,,T1-SUPP,"Supplement 3 eTable 8 p20 N=391 wins 7675 ties 3680 losses 4964",read,
PARACHUTE-HF,NCT04023227,41335448,subgroup_hf_duration_1to5y_WR,sv_vs_ena,1.826,1.249,2.760,,T1-SUPP,"Supplement 3 eTable 8 p20 N=185 wins 2095 ties 541 losses 1311",read,
PARACHUTE-HF,NCT04023227,41335448,subgroup_hf_duration_5y_or_more_WR,sv_vs_ena,1.238,0.925,1.665,,T1-SUPP,"Supplement 3 eTable 8 p20 N=346 wins 7751 ties 3292 losses 6221",read,
PARACHUTE-HF,NCT04023227,41335448,subgroup_randomised_before_2021_12_31_WR,sv_vs_ena,1.174,0.879,1.599,,T1-SUPP,"Supplement 3 eTable 8 p21 N=271 wins 3315 ties 971 losses 3117",read,COVID pandemic era
PARACHUTE-HF,NCT04023227,41335448,subgroup_randomised_after_2022_01_01_WR,sv_vs_ena,1.651,1.345,2.062,,T1-SUPP,"Supplement 3 eTable 8 p21 N=651 wins 27160 ties 11859 losses 17182",read,
PARACHUTE-HF,NCT04023227,41335448,subgroup_interaction_p_values,all,NOT REPORTED,,,,T1-SUPP,"Supplement 3 eTable 8 pp20-21 - no interaction p-values printed anywhere",not_computed_reason,authors assert consistency in main text without testing it; not computed here
PARACHUTE-HF,NCT04023227,41335448,kaplan_meier_curves,both,NOT IN SUPPLEMENT 3,,,,T1-MAIN,"main-text Figure 2 C D E",not_extracted,supplement contains only eFigure 1 (bar chart) and eFigure 2 (win ratio flow); pseudo-IPD needs the article figure
ANSWER-HF,NCT04853758,41396086,randomised_n,total,190,,,,T1-PUB,"J Am Coll Cardiol 2025;87:1220-1232 abstract",read,1:1 allocation
ANSWER-HF,NCT04853758,41396086,mean_age_years,total,61,,,,T1-PUB,"JACC abstract",read,
ANSWER-HF,NCT04853758,41396086,female_pct,total,40,,,,T1-PUB,"JACC abstract",read,
ANSWER-HF,NCT04853758,41396086,black_or_mixed_race_pct,total,69,,,,T1-PUB,"JACC abstract",read,
ANSWER-HF,NCT04853758,41396086,baseline_mean_lvef_pct,total,30.1,,,,T1-PUB,"JACC abstract",read,
ANSWER-HF,NCT04853758,41396086,delta_lvef_6mo_pp,sacubitril_valsartan,2.1,,,,T1-PUB,"JACC abstract",read,primary endpoint
ANSWER-HF,NCT04853758,41396086,delta_lvef_6mo_pp,enalapril,1.2,,,,T1-PUB,"JACC abstract",read,primary endpoint
ANSWER-HF,NCT04853758,41396086,delta_lvef_between_group_diff_pp,sv_vs_ena,0.9,-0.9,2.6,0.36,T1-PUB,"JACC abstract",read,primary endpoint
ANSWER-HF,NCT04853758,41396086,win_ratio_hierarchical_secondary,sv_vs_ena,1.80,1.27,2.63,,T1-PUB,"JACC abstract",read,CVdeath>HFhosp>NTproBNP>LVEF
ANSWER-HF,NCT04853758,41396086,ntprobnp_geomean_ratio_6mo,sv_vs_ena,0.68,0.57,0.81,<0.001,T1-PUB,"JACC abstract",read,
ANSWER-HF,NCT04853758,41396086,cv_death_n,both,,,,,NOT_RECOVERED,"not in JACC abstract; CTG hasResults false; JACC full text not yet obtained",not_computed_reason,retrievable - obtain JACC full text
ANSWER-HF,NCT04853758,41396086,hf_hosp_n,both,,,,,NOT_RECOVERED,"not in JACC abstract; CTG hasResults false; JACC full text not yet obtained",not_computed_reason,retrievable - obtain JACC full text
PARADIGM-HF Chagas subgroup,NCT_NOT_RESOLVED,30298996,n_analysed,sacubitril_valsartan,58,,,,T1-PUB,"ESC Heart Fail 2018;5:1069-1071 full text para 4 (open access)",read,parent-trial NCT deliberately blank - not confirmed by live lookup; do not fill from recall
PARADIGM-HF Chagas subgroup,NCT_NOT_RESOLVED,30298996,n_analysed,enalapril,55,,,,T1-PUB,"ESC Heart Fail 2018;5:1069-1071 full text para 4",read,parent-trial NCT not resolved by live lookup
PARADIGM-HF Chagas subgroup,NCT_NOT_RESOLVED,30298996,composite_cvdeath_or_hfhosp_HR,sv_vs_ena,0.63,0.31,1.28,,T5-SEC,"Heart Fail Rev 2026;31(1) PMID 41910669 full text para 2 quoting the 2018 forest plot",read,source quotes the figure; figure itself not digitised
POOLED meta-analysis A,,41941460,hf_hospitalisation_RR,sv_vs_ena,0.93,0.74,1.16,0.53,T5-SEC,"Cardiol Rev 2026 PMID 41941460 abstract; n=1225 3 RCTs",read,
POOLED meta-analysis A,,41941460,cv_mortality_RR,sv_vs_ena,0.91,0.73,1.12,0.37,T5-SEC,"Cardiol Rev 2026 PMID 41941460 abstract",read,
POOLED meta-analysis A,,41941460,all_cause_mortality_RR,sv_vs_ena,0.96,0.79,1.17,0.69,T5-SEC,"Cardiol Rev 2026 PMID 41941460 abstract",read,
POOLED meta-analysis A,,41941460,symptomatic_hypotension_RR,sv_vs_ena,1.14,0.94,1.39,,T5-SEC,"Cardiol Rev 2026 PMID 41941460 abstract",read,
POOLED meta-analysis A,,41941460,kidney_dysfunction_RR,sv_vs_ena,1.08,0.84,1.39,,T5-SEC,"Cardiol Rev 2026 PMID 41941460 abstract",read,
POOLED meta-analysis A,,41941460,hyperkalaemia_RR,sv_vs_ena,1.26,0.37,4.32,,T5-SEC,"Cardiol Rev 2026 PMID 41941460 abstract",read,
POOLED meta-analysis B,,41923142,composite_cvdeath_or_hfhosp_RR,sv_vs_ena,0.92,0.81,1.05,0.216,T5-SEC,"Cardiol Rev 2026 PMID 41923142 abstract; n=1225 3 RCTs",read,
POOLED meta-analysis B,,41923142,all_cause_mortality_RR,sv_vs_ena,0.96,0.79,1.17,0.691,T5-SEC,"Cardiol Rev 2026 PMID 41923142 abstract",read,matches meta-analysis A exactly
POOLED meta-analysis B,,41923142,ntprobnp_pct_change_MD,sv_vs_ena,-31.00,-51.40,-10.60,<0.01,T5-SEC,"Cardiol Rev 2026 PMID 41923142 abstract",read,mean difference in percent change
DISCREPANCY,,,pairwise_comparisons,,212520 vs 101477,,,,T5-SEC vs T1-SUPP,"Cardiology Trials appraisal (212520 = 462x460 computed by its author) vs Supplement 3 eFigure 2 p26 and eTable 4 p14 (101477 actual)",read,SECONDARY SOURCE IS WRONG - matching is within country strata; use 101477
DISCREPANCY,,,ntprobnp_pct_change_wk12,,-30.6/-5.5 vs -41.1/-1.5,,,,T1-MAIN,"JAMA Table 2 carries both",read,BOTH CORRECT - first pair is median (IQR) second pair is mean (SD); my earlier report wrongly flagged the second as an error
DISCREPANCY,,,serious_ae_n,,211/234 vs 169/183,,,,T1-MAIN vs T2-REG,"JAMA Table 2 vs CTG seriousNumAffected",read,GENUINE PAPER-VS-REGISTRY DISAGREEMENT; likely definitional/AE-window; prefer Table 2 for paper-based synthesis
DISCREPANCY,,,discontinuation_due_to_ae,,28/45 vs 21/49,,,,T1-MAIN vs T1-SUPP,"JAMA Table 2 (6.1%/9.8%) vs Supplement 3 eTable 2 p12 permanent discontinuation (4.5%/10.7%)",read,DIFFERENT DEFINITIONS not an error; use Table 2 for 'discontinuation due to AE'
DISCREPANCY,,,ntprobnp_n_analysed_wk12,,417/401 vs 419/403,,,,T1-MAIN vs T1-SUPP+T2-REG,"JAMA Table 2 vs Supplement 3 eTable 5 p16 and CTG posted results",read,UNEXPLAINED 2-PATIENT DISCREPANCY between the paper's main text and its own supplement; supplement and registry agree against main text
DISCREPANCY,,,etable9_total_column,,Total equals Enalapril column wherever SV>0,,,,T1-SUPP,"Supplement 3 eTable 9 pp22-23",read,PUBLISHED TYPESETTING ERROR verified at word-coordinate level; use per-arm columns
DISCREPANCY,,,sites_n,,83 vs >80 vs 79 vs ~100,,,,T1-MAIN vs T3-CONF vs T2-REG vs design paper,"JAMA main text 83; ESC/ACC/TCTMD 'more than 80'; CTG 79 facility records; JACC HF design paper ~100 planned",read,USE 83
DISCREPANCY,,,ntprobnp_baseline_median,,1730 pooled vs 1801 SV / 1679 ENA,,,,T5-SEC vs T1-SUPP,"EJHF baseline paper 1730 pooled; Supplement 3 eTable 5 p16 per-arm",read,different populations not a conflict; use eTable 5 for per-arm work
PROVENANCE_NOTE,,,earlier_not_computed_reason_on_all_cause_mortality_HR,,RETRACTED,,,,,"previous version of this extraction",correction,"The HR was in main-text Table 2 all along. The earlier gap was a BLOCKED FETCH (Cloudflare interstitial on jamanetwork.com; reCAPTCHA on PMC) not a data absence. A tool-access failure must never be recorded as a data absence."
